Komponententyp, Name, Material, Herkunft, Farbe, Hersteller, Form, Gebrauchszustand, Preis, Verfügbarkeit, Klangauswirkung
Hals, Ahornhals, Ahorn, Deutschland, hellbraun, Hausmarke, D, neu, 100.00, bestellbar, stark
Steg, Rollensteg, Glockenmessing, Deutschland, Chrom, ABM, V, gebraucht, 90.20, sofort lieferbar, gering
Korpus, Erlenkorpus, Erle, Deutschland, schwarz, ML-Factory, Stratocaster, gebraucht, 120.00, sofort lieferbar, stark
Griffbrett, Palisandergriffbrett, Palisander, Indien, braun, Rall-Factory, LP, neu, 47.70, sofort lieferbar, stark
Tonabnehmer, Strat Pick up Set, Alnico V Magnet, USA, weiß, Fender, Single Coil, neu, 21.50, sofort lieferbar, stark
Schallloch, F-Loch, -, -, -, Hausmarke, f, neu, 20.00, sofort lieferbar, gering
Kopf, Mahagonikopfplatte, Mahagoni, Mexiko, dunkelbraun, ML-Factory, Rohling, neu, 7.50, sofort lieferbar, gering
Wirbel, Pegs Schlüssel Wirbel, Kunststoff, China, creme, Yibui, Bonbon, neu, 12.90, sofort lieferbar, keine
Sattel, Knochensattel, Knochen, USA, creme, Rall-Factory, flach, neu, 30.00, bestellbar, gering
Decke, Ahornfunier, Ahorn, Deutschland, hellbraun, ABM, Funier, neu, 90.90, bestellbar, gering
